Facultad,Carrera,Precio,Semestre,Materias
Facultad De Derecho Y Ciencias Forenses,Profesional En Criminalistica,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 9,Rol del criminalístico en el sistema penal acusatorio;Trabajo de grado I;Criminalística reconstructiva;Psicología forense;Electiva V
Facultad De Derecho Y Ciencias Forenses,Profesional En Criminalistica,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 10,Criminología;Trabajo de grado II;Ética profesional
Facultad De Derecho Y Ciencias Forenses,Derecho,Valor Inscripción $14.100Valor matrícula 2.5 SMMLV,SEMESTRE 1,Introducción al derecho;Derecho constitucional general I (Teoría de estado);Derecho Romano;Introducción económica;Metodología de la investigación
Facultad De Derecho Y Ciencias Forenses,Derecho,Valor Inscripción $14.100Valor matrícula 2.5 SMMLV,SEMESTRE 2,Filosofía del derecho;Derecho constitucional general II (Teoría de la constitución);Derecho civil I (Parte general y personas);Investigación jurídica;Economía colombiana;Teoría general del delito
Facultad De Derecho Y Ciencias Forenses,Derecho,Valor Inscripción $14.100Valor matrícula 2.5 SMMLV,SEMESTRE 3,Historia derecho colombiano;Derecho constitucional general colombiano;Civil II (Bienes);Teoría general del acto jurídico;Inglés I;Derecho penal general
Facultad De Derecho Y Ciencias Forenses,Derecho,Valor Inscripción $14.100Valor matrícula 2.5 SMMLV,SEMESTRE 4,Principialística y teoría de la argumentación;Derecho constitucional colombiano II;Derecho penal especial;Obligaciones;Teoría general del proceso;Inglés II
Facultad De Derecho Y Ciencias Forenses,Derecho,Valor Inscripción $14.100Valor matrícula 2.5 SMMLV,SEMESTRE 5,Hermeneútica jurídica;Derecho internacional I;Derecho administrativo I;Derecho comercial general;Derecho procesal civil;Teoría general de la prueba;Inglés III
Facultad De Derecho Y Ciencias Forenses,Derecho,Valor Inscripción $14.100Valor matrícula 2.5 SMMLV,SEMESTRE 6,Teoría del conflicto;Derecho internacional II;Derecho administrativo II;Contratos civiles y mercantiles;Derecho laboral individual;Derecho procesal penal;Inglés IV
Facultad De Derecho Y Ciencias Forenses,Derecho,Valor Inscripción $14.100Valor matrícula 2.5 SMMLV,SEMESTRE 7,Seguridad social;Derecho de familia y del menor;Derecho procesal administrativo;Derecho ambiental;Derecho laboral colectivo;Derecho probatorio;Inglés V
Facultad De Derecho Y Ciencias Forenses,Derecho,Valor Inscripción $14.100Valor matrícula 2.5 SMMLV,SEMESTRE 8,Mecanismos alternativos de resolución de conflictos;Sucesiones;Electiva I;Técnicas de oralidad;Derecho procesal laboral;Pruebas penales;Inglés VI
Facultad De Derecho Y Ciencias Forenses,Derecho,Valor Inscripción $14.100Valor matrícula 2.5 SMMLV,SEMESTRE 9,Ética profesional;Consultorio jurídico;Electiva II;Derecho notarial y registral;Derecho minero
Facultad De Derecho Y Ciencias Forenses,Derecho,Valor Inscripción $14.100Valor matrícula 2.5 SMMLV,SEMESTRE 10,Derecho tributario y hacienda pública;Consultorio jurídico II;Electiva III;Responsabilidad del Estado y del servicio público;Derecho agrario
Facultad De Derecho Y Ciencias Forenses,Tecnologia En Investigacion Judicial,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 1,Matemáticas;Introducción al derecho constitucional colombiano;Introducción a la investigación judicial;Técnicas de expresión y comunicación;Anatomía humana y medicina forense;Inglés I
Facultad De Derecho Y Ciencias Forenses,Tecnologia En Investigacion Judicial,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 2,Estadística;Derecho penal general;Biología forense;Planimetría y fotografía judicial;Emprendimiento;Inglés II
Facultad De Derecho Y Ciencias Forenses,Tecnologia En Investigacion Judicial,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 3,Metodología de la investigación;Derecho penal especial;Química;Administración de la seguridad;Psicología forense;Inglés III
Facultad De Derecho Y Ciencias Forenses,Tecnologia En Investigacion Judicial,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 4,Responsabilidad social y jurídica del investigador judicial;Procedimiento penal;Química y toxicología forense;Policía judicial;Electiva I;Inglés IV
Facultad De Derecho Y Ciencias Forenses,Tecnologia En Investigacion Judicial,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 5,"Balística científica;Pruebas judiciales;Antropología forense;Lofoscopia, documentología, grafotecnia forense;Electiva II;Inglés V"
Facultad De Derecho Y Ciencias Forenses,Tecnologia En Investigacion Judicial,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 6,Criminología;Práctica;Criminalística de campo;Electiva III;Inglés VI
Facultad De Ingenieria,Maestria En Gestion De Tecnologia De La Informacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 1,Gobernabilidad TI;Gerencia de proyectos TI;Gestión de Requisitos;Seminario de investigación
Facultad De Ingenieria,Maestria En Gestion De Tecnologia De La Informacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 2,Arquitectura TI;Gestión del Riesgo;Gestión del Conocimiento;Optativa I
Facultad De Ingenieria,Maestria En Gestion De Tecnologia De La Informacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 3,"Seminario de trabajo de grado;Aspectos legales, evaluación y negociación de las TI;Optativa II;Optativa III"
Facultad De Ingenieria,Maestria En Gestion De Tecnologia De La Informacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 4,Trabajo de grado;Optativa IV
Facultad De Ingenieria,Maestria En Gestion De Tecnologia De La Informacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,Línea 1: Seguridad de la Información,Criptografía;Seguridad de Redes y Sistemas Operativos;Herramientas de Software y Seguridad;Ciencias Forenses Digitales
Facultad De Ingenieria,Maestria En Gestion De Tecnologia De La Informacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,Línea 2: Apoyo Tecnológico de Ambientes de Aprendizajes,Contenidos Digitales;Entornos Virtuales de Aprendizaje;Producción de Recursos Educativos Tecnológicos;Administración de Proyectos Formativos
Facultad De Ingenieria,Maestria En Gestion De Tecnologia De La Informacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,Línea 3: Ingeniería de Software,Análisis y Diseño de Software;Calidad y Métrica del Software;Metodologías Ágiles de I.S.;Inteligencia de Negocios
Facultad De Ingenieria,Maestria En Gestion Del Riesgo Y Medio Ambiente,Valor Inscripción $153.700Valor matrícula 7 SMMLV,SEMESTRE 1,Legislación e Institucionalidad en Medio Ambiente y Gestión de Riesgo;Teoría General de la Gestión de Riesgo;Desarrollo Sostenible y Medio Ambiente;SIG Aplicado a la Gestión de Riegos;Seminario de Investigación I
Facultad De Ingenieria,Maestria En Gestion Del Riesgo Y Medio Ambiente,Valor Inscripción $153.700Valor matrícula 7 SMMLV,SEMESTRE 2,"Diagnóstico y Evaluación de Riesgo;Ordenamiento, Planificación y Gestión Territorial;Gerencia y Planificación Para la reducción del Riesgo;Ordenamiento de Cuencas con Enfoque del Riesgo Integral;Optativa I"
Facultad De Ingenieria,Maestria En Gestion Del Riesgo Y Medio Ambiente,Valor Inscripción $153.700Valor matrícula 7 SMMLV,SEMESTRE 3,Amenazas Hidrometereológicas;Obra Civiles y Biológicas en la Gestión de Desastres;Semanario de Investigación II;Optativa II
Facultad De Ingenieria,Maestria En Gestion Del Riesgo Y Medio Ambiente,Valor Inscripción $153.700Valor matrícula 7 SMMLV,SEMESTRE 4,Trabajo de grado;Optativa III
Facultad De Ingenieria,Maestria En Gestion Del Riesgo Y Medio Ambiente,Valor Inscripción $153.700Valor matrícula 7 SMMLV,Optativa I,Gestión Social del Riesgo;Gestión y Divulgación del Conocimiento en la Gestión Riesgo;Geomorfología Colombiana
Facultad De Ingenieria,Maestria En Gestion Del Riesgo Y Medio Ambiente,Valor Inscripción $153.700Valor matrícula 7 SMMLV,Optativa II,Gestión de Residuos Sólidos;Gestión de Recursos Hídricos;Administración Ambiental
Facultad De Ingenieria,Maestria En Gestion Del Riesgo Y Medio Ambiente,Valor Inscripción $153.700Valor matrícula 7 SMMLV,Optativa III,Geoestadística;Valoración Económica del Riesgo;La Reducción del Riesgo desde la Inversión Pública
Facultad De Ingenieria,Especializacion En Seguridad De La Informacion,Valor Inscripción $102.100 Valor matrícula 5 SMMLV,SEMESTRE 1,Fundamentos de seguridad de la información;Mecanismos de protección criptográficos;Seguridad en aplicaciones y bases de datos;Seguridad en redes y sistemas operativos;Gobernabilidad TI
Facultad De Ingenieria,Especializacion En Seguridad De La Informacion,Valor Inscripción $102.100 Valor matrícula 5 SMMLV,SEMESTRE 2,Ciencia forense digital;Aspectos jurídicos delitos informáticos;Gestión de riesgo;Seguridad en dispositivos móviles;Gerencia de proyectos
Facultad De Ingenieria,Ingenieria Ambiental,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 1,Matemáticas;Biología;Química;Emprendimiento;Geometría y trigonometría;Introducción a la profesión
Facultad De Ingenieria,Ingenieria Ambiental,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 2,Cálculo diferencial;Microbiología;Química orgánica;Humanidades;Dibujo;Álgebra lineal;Inglés I
Facultad De Ingenieria,Ingenieria Ambiental,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 3,Cálculo integral;Botánica;Química ambiental;Sociedad y naturaleza;Física I;Geología física y geomorfología;Inglés II
Facultad De Ingenieria,Ingenieria Ambiental,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 4,Cálculo vectorial;Ecología;Fisicoquímica;Constitución política y legislación ambiental;Física II;Estadística;Inglés III
Facultad De Ingenieria,Ingenieria Ambiental,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 5,Ecuaciones diferenciales;Conservación de suelos;Manejo de la biodiversidad;Bioética;Mecánica de fluidos;Hidrología y climatología;Inglés IV
Facultad De Ingenieria,Ingenieria Ambiental,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 6,Investigación;Agroecología;Sistemas de información geográfica;Economía ambiental;Hidráulica;Diagnóstico de aguas;Inglés V
Facultad De Ingenieria,Ingenieria Ambiental,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 7,Electiva I;Restrauración de ecosistemas;Residuos sólidos I;Evaluación de proyectos ambientales;Potabilización del agua;Tratamiento de aguas residuales;Inglés VI
Facultad De Ingenieria,Ingenieria Ambiental,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 8,Electiva II;Gestión territorial;Residuos sólidos II;Calidad del aire;Gestión integrada del agua;Aguas subterráneas
Facultad De Ingenieria,Ingenieria Ambiental,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 9,Electiva III;Gestión del riesgo;Gestión ambiental;Tratamiento del aire;Ordenación de cuencas hidrográficas;Evaluación del impacto ambiental;Investigación aplicada
Facultad De Ingenieria,Ingenieria Ambiental,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 10,Electiva IV;Trabajo de grado
Facultad De Ingenieria,Ingenieria En Software,Valor Inscripción $14.100 Valor matrícula 2.5 SMMLV,SEMESTRE 1,Sistemas de información y herramientas;Lógica matemática;Lengua materna;Introducción al desarrollo de software;Introducción al área profesional;Inglés I
Facultad De Ingenieria,Ingenieria En Software,Valor Inscripción $14.100 Valor matrícula 2.5 SMMLV,SEMESTRE 2,Herramientas de diseño;Matemáticas básicas;Humanidades;Lógica de programación;Construcción de software I;Inglés II
Facultad De Ingenieria,Ingenieria En Software,Valor Inscripción $14.100 Valor matrícula 2.5 SMMLV,SEMESTRE 3,Ingeniería de software;Cálculo diferencial;Estadística;Sociología de la información;Estructura de datos;Inglés III
Facultad De Ingenieria,Ingenieria En Software,Valor Inscripción $14.100 Valor matrícula 2.5 SMMLV,SEMESTRE 4,Modelado y arquitectura de software;Cálculo integral;Metodología de la investigación;Bases de datos I;Construcción de software II;Inglés IV
Facultad De Ingenieria,Ingenieria En Software,Valor Inscripción $14.100 Valor matrícula 2.5 SMMLV,SEMESTRE 5,Pruebas de software;Álgebra lineal;Emprendimiento;Bases de datos II;Desarrollo web;Inglés V
Facultad De Ingenieria,Ingenieria En Software,Valor Inscripción $14.100 Valor matrícula 2.5 SMMLV,SEMESTRE 6,Proyecto de aula;Análisis probabilístico;Física;Desarrollo móvil;Sistemas operativos;Inglés VI
Facultad De Ingenieria,Ingenieria En Software,Valor Inscripción $14.100 Valor matrícula 2.5 SMMLV,SEMESTRE 7,Investigación de operaciones;Sistemas inteligentes;Ingeniería económica;Análisis de algoritmos;Redes de datos
Facultad De Ingenieria,Ingenieria En Software,Valor Inscripción $14.100 Valor matrícula 2.5 SMMLV,SEMESTRE 8,Métodos numéricos;Electiva I;Formulación y evaluación de proyectos;Bases de datos avanzadas;Telemática
Facultad De Ingenieria,Ingenieria En Software,Valor Inscripción $14.100 Valor matrícula 2.5 SMMLV,SEMESTRE 9,Trabajo de grado I;Electiva II;Gestión de proyectos;Compiladores e intérpretes;Optativa I
Facultad De Ingenieria,Ingenieria En Software,Valor Inscripción $14.100 Valor matrícula 2.5 SMMLV,SEMESTRE 10,Trabajo de grado II;Electiva III;Aspectos legales y éticos;Tendencias en desarrollo de software;Optativa II
Facultad De Ingenieria,Tecnologia En Gestion Informatica Virtual,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 1,Informática Básica;Matemáticas Básicas;Introducción al Desarrollo de Software;Lengua Materna;Inglés I
Facultad De Ingenieria,Tecnologia En Gestion Informatica Virtual,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 4,Auditoría de Sistemas y Derecho Informático;Redes de Datos;Bases de Datos;Metodología de la Investigación;Inglés IV
Facultad De Ingenieria,Tecnologia En Gestion Informatica Virtual,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 2,Emprendimiento;Cálculo Diferencial;Herramientas de Diseño Gráfico;Construcción de Software;Inglés II
Facultad De Ingenieria,Tecnologia En Gestion Informatica Virtual,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 5,Gestión de Proyectos;Seguridad de la Información;Gestión de Sistemas Operativos;Electiva I;Inglés V
Facultad De Ingenieria,Tecnologia En Gestion Informatica Virtual,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 3,Ingeniería de Software;Estadística;Comercio Electrónico;Sociología de la Información;Inglés III
Facultad De Ingenieria,Tecnologia En Gestion Informatica Virtual,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 6,Práctica;Negociación Tecnológica;Electiva II;Inglés VI
Facultad De Ingenieria,Tecnologia En Gestion Agroambiental,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 1,Matemáticas;Humanidades;Química;Biología;Agroambiental;Inglés I
Facultad De Ingenieria,Tecnologia En Gestion Agroambiental,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 2,Física;Geometría y trigonometría;Suelos;Emprendimiento;Microbiología;Inglés II
Facultad De Ingenieria,Tecnologia En Gestion Agroambiental,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 3,Hidráulica;Estadística;Botánica;Ecología;Sistemas de información geográfica;Inglés III
Facultad De Ingenieria,Tecnologia En Gestion Agroambiental,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 4,Investigación;Saneamiento hídrico;Ordenación de cuencas hidrográficas;Agricultura ecológica;Electiva I;Inglés IV
Facultad De Ingenieria,Tecnologia En Gestion Agroambiental,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 5,Desarrollo rural;Cultivos;Legislación y gestión ambiental;Uso y manejo de la biodiversidad;Electiva II;Inglés V
Facultad De Ingenieria,Tecnologia En Gestion Agroambiental,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 6,Práctica agroambiental;Inglés VI
Facultad De Ingenieria,Tecnica Profesional En Sistemas Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,SEMESTRE 1,La organización y sus procesos;Desarrollo de pensamiento matemático I;Lógica de programación I;Desarrollo habilidades comunicativas;Introducción al área profesional
Facultad De Ingenieria,Tecnica Profesional En Sistemas Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,SEMESTRE 2,Definición de requisitos;Estadística;Construcción de software I;Liderar equipos de trabajo;Desarrollo de pensamiento matemático II;Arquitectura de hardware y software
Facultad De Ingenieria,Tecnica Profesional En Sistemas Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,SEMESTRE 3,Análisis de requisitos;Construcción base de datos I;Lógica de programación II;Construcción de software II;Fundamentos de investigación;Utilizar herramientas de diseño gráfico
Facultad De Ingenieria,Tecnica Profesional En Sistemas Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,SEMESTRE 4,Diseño del sistema;Construcción de bases de datos II;Construcción de software III;Sistemas operativos;Desarrollo de pensamiento matemático III;Fundamentos de ingeniería de software
Facultad De Ingenieria,Tecnologia En Sistemas Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 1,La organización y sus procesos;Desarrollo de Pensamiento Matemático I;Lógica de programación I;Desarrollo Habilidades Comunicativas;Introducción al Área profesional
Facultad De Ingenieria,Tecnologia En Sistemas Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 2,Definición de Requisitos;Estadística;Construcción de Software I;Liderar Equipos de Trabajo;Desarrollo de Pensamiento Matemático II;Arquitectura de Hardware y Software
Facultad De Ingenieria,Tecnologia En Sistemas Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 3,Análisis de Requisitos;Construcción Base de Datos I;Lógica de Programación II;Construcción de Software II;Fundamentos de Investigación;Utilizar Herramientas de Diseño Gráfico
Facultad De Ingenieria,Tecnologia En Sistemas Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 4,Diseño del Sistema;Construcción de Bases de Datos II;Construcción de Software III;Sistemas Operativos;Desarrollo de Pensamiento Matemático III;Fundamentos de Ingeniería de Software
Facultad De Ingenieria,Tecnologia En Sistemas Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 5,Pruebas de Software;Redes de datos;Construcción de Software IV;Desarrollo de Pensamiento Matemático IV;Tendencias en Desarrollo de Software
Facultad De Ingenieria,Tecnologia En Sistemas Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 6,Despliegue del Sistema;Sociología de la Información;Planes de Negocio;Práctica;Construcción de Software V
Facultad De Educacion Y Ciencias Sociales,Doctorado En Educacion Y Estudios Sociales,Valor Inscripción $257.000 Valor matrícula 21 SMMLV anuales,COMPONENTE EDUCATIVO Y SOCIAL (12 Créditos),SEMINARIOS DE FUNDAMENTACIÓN
Facultad De Educacion Y Ciencias Sociales,Doctorado En Educacion Y Estudios Sociales,Valor Inscripción $257.000 Valor matrícula 21 SMMLV anuales,COMPONENTE DE ÉNFASIS (24 Créditos),"ÉNFASIS Epistemología, Pedagogía y Didáctica;ÉNFASIS Contextos y comunidades educativas;ÉNFASIS Construcción de conocimiento para el desarrollo;ÉNFASIS Paz, justicia e Instituciones sólidas;ÉNFASIS Medio ambiente y desarrollo sostenible"
Facultad De Educacion Y Ciencias Sociales,Doctorado En Educacion Y Estudios Sociales,Valor Inscripción $257.000 Valor matrícula 21 SMMLV anuales,COMPONENTE HEURÍSTICO (50 Créditos),Desarrollo de Tesis Doctoral y Defensa (40 créditos);PASANTIA INTERNACIONAL (10 Créditos)
Facultad De Educacion Y Ciencias Sociales,Maestria En Educacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 1,Contexto educativo;Paradigmas en investigación;Escritura académica y científica;Seminario de línea I;Taller de trabajo de grado I
Facultad De Educacion Y Ciencias Sociales,Maestria En Educacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 2,Educación y desarrollo humano;Metodología de la investigación;Seminario de línea II;Seminario de línea III;Taller de trabajo de grado II
Facultad De Educacion Y Ciencias Sociales,Maestria En Educacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 3,Pedagogía y currículo;Teorías de aprendizaje;Técnicas e instrumentos de investigación;Seminario de línea IV;Taller de trabajo de grado III
Facultad De Educacion Y Ciencias Sociales,Maestria En Educacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 4,Innovaciones sociales y educativas;Análisis de datos e información;Optativa;Taller de trabajo de grado IV;Taller de trabajo de grado V
Facultad De Educacion Y Ciencias Sociales,Maestria En Educacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,LÍNEA DE INFANCIAS,Seminario de línea I Infancias;Seminario de línea II Educación infantil y atención integral;Seminario de línea III Formación y profesionalización;Seminario de línea IV Cuidado y crianza
Facultad De Educacion Y Ciencias Sociales,Maestria En Educacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,LÍNEA DE PLURALIDADES,Seminario de línea I Pluralidades;Seminario de línea II Justicia educativa y social;Seminario de línea III Vulnerabilidad educativa y social;Seminario de línea IV Interculturalidad
Facultad De Educacion Y Ciencias Sociales,Maestria En Educacion,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,LÍNEA DE GESTIÓN DE LAS ORGANIZACIONES EDUCATIVAS,Seminario de línea I Antropología de la organización;Seminario de línea II Culturas educativas;Seminario de línea III Modelos de gestión;Seminario de línea IV Saberes y formación de maestros
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Literatura Y Lengua Castellana,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 1,Paradigmas y teorías pedagógicas;Historia de la educación;Lingüística;Historia de la lengua castellana;Lengua materna;Práctica I: Contextos de la educación
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Literatura Y Lengua Castellana,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 2,Teorías y modelos curriculares;Neuroaprendizaje;Fonética y fonología;Historia del libro y la literatura;Inglés I;Práctica II: entornos educativos e identificación del maestro
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Literatura Y Lengua Castellana,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 3,"Procesos de aprendizaje: dificultades, limitaciones y talentos;Diseño de aprendizaje universal;Morfología;Teorías literarias;Teorías y contextos del desarrollo humano;Inglés II;Práctica III: promoción de lectura"
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Literatura Y Lengua Castellana,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 4,Aprendizaje y evaluación de la lectura y la escritura;Matemática;Sintaxis;Literatura lírica;Formación ciudadana;Inglés III;Práctica IV: promoción de la escritura
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Literatura Y Lengua Castellana,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 5,Didáctica de la lengua castellana;Situación de infancias y adolescencias;Producción textual;Literatura narrativa;Inglés IV;Opativa;Práctica V: pedagogía de la lengua castellana
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Literatura Y Lengua Castellana,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 6,Didáctica de la lectura y escritura;Metodología de investigación;Semántica y pragmática;Literatura dramática;Inglés V;Optativa;Práctica VI: taller de escritores
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Literatura Y Lengua Castellana,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 7,"Didáctica de la literatura;Diversidad y poblaciones;Semiótica y semiología;Literatura, cultura y sociedad;Gestión educativa;Inglés VI;Optativa;Práctica VII: taller interpretación literaria"
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Literatura Y Lengua Castellana,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 8,"Didáctica de los sistemas simbólicos;Literatura, lengua castellana y educación para la diversidad;Sociolingüística y etnolingüística;Literatura y estética;Investigación en educación;Optativa;Práctica VIII: literatura y sistemas simbólicos"
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Literatura Y Lengua Castellana,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 9,Sistematización de experiencias educativas;Lingüística aplicada;Práctica profesional I
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Literatura Y Lengua Castellana,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 10,Legislación educativa;Crítica literaria;Práctica profesional II
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Educacion Infantil,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 1,Historia de la educación y de la pedagogía;Paradigmas y teorías pedagógicas;Familia y crianza;Historia de la infancia y la educación infantil;Práctica I;Salud en la primera infancia;Lengua materna
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Educacion Infantil,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 2,Teorías y modelos curriculares;Teorías y contextos del desarrollo humano;Neuroaprendizaje;Didáctica;Práctica II;Optativa I;Inglés I
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Educacion Infantil,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 3,Situación de infancias y adolescencias;Legislación educativa;Evaluación;Motodología de la investigación;Práctica III;Optativa II;Inglés II
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Educacion Infantil,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 4,Diseño universal del aprendizaje;Diversidad y poblaciones;Desarrollo infantil I;Juego y lúdica en la educación infantil I;Práctica IV;Optativa III;Inglés III
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Educacion Infantil,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 5,Educación para la diversidad;Conocimiento de la lectura y escritura;Desarrollo infantil II;Investigación en educación;Práctica V;Optativa IV;Inglés IV
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Educacion Infantil,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 6,Evaluación en la educación infantil;Didáctica de la lectura y escritura;Conocimiento del entorno social y cultural;Pensamiento lógico matemático;Práctica VI;Inglés V
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Educacion Infantil,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 7,Gestión educativa;Didáctica de la lógica matemática;Lenguajes artísticos;Conocimiento del medio natural y ambiental;Arte y estética;Práctica VII;Inglés VI
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Educacion Infantil,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 8,Didáctica del conocimiento social y cultural;Didáctica del medio natural y ambiental;Gestión de proyectos;Sistematización de experiencias;Experiencias innovadoras y significativas en educación infantil;Práctica VIII
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Educacion Infantil,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 9,Deber ser del maestro;Matemáticas;Práctica profesional I
Facultad De Educacion Y Ciencias Sociales,Licenciatura En Educacion Infantil,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 10,Tecnologías aplicadas a la educación infantil;Formación ciudadana;Escribir para publicar;Práctica profesional II
